id|isDemo|region|name
|||kiosk demos
0100069000078000|0|US|Retail Interactive Display Menu
0100069000079000|0|US|Retail Interactive Display Menu
010068D01053E000|1|CN|TestApp 1
010015E007A7C000|1|XX|Snipperclips Plus Demo for KIOSK
01001E5006C6E000|1|XX|Super Mario Odyssey™ Demo for KIOSK
010034F005AE2000|1|XX|POKKÉN TOURNAMENT DX Demo for KIOSK
0100509005AF2000|1|XX|The Legend of Zelda™: Breath of the Wild Demo for KIOSK
010068F00C89E000|1|XX|Mega Man 11 Demo for KIOSK
01006A400C9C8000|1|XX|Yoshi's Crafted World Demo for KIOSK
01006E800972C000|1|XX|New Super Mario Bros. U Deluxe Demo for KIOSK
01008ED00BC44000|1|XX|Mario Tennis™ Aces Demo for KIOSK
0100913006CC6000|1|XX|ARMS Demo for KIOSK
010095C00B308000|1|XX|Captain Toad: Treasure Tracker Demo for KIOSK
010099A00B12A000|1|XX|Sushi Striker™: The Way of Sushido Demo for KIOSK
01009AD008C4C000|1|XX|Pokémon: Let's Go, Pikachu! Demo for KIOSK
0100A21003E66000|1|XX|Fire Emblem Warriors Demo for KIOSK
0100BC0009716000|1|XX|Kirby Star Allies Demo for KIOSK
0100D4E005B3E000|1|XX|Mario Kart 8 Deluxe Demo for KIOSK
0100F1D00AA86000|1|XX|Hyrule Warriors: Definitive Edition Demo for KIOSK
0100F5100BEF6000|1|XX|Super Mario Party Demo for KIOSK
|||time-limited demos
010000A00218E000|1|US|Splatoon 2 Global Testfire
010020400B0A8000|1|JP|Mario Tennis Aces: Online Tournament Demo
01002120116C4000|1|XX|Splatoon 2: Special Demo 2020
01003870040FA000|1|US|Splatoon 2 Splatfest World Premiere
0100459000302000|1|JP|ドラゴンクエストⅩ オンライン ベータ版
010049D0133EA000|1|JP|ソロモンプログラム 先ドリ体験版 2.0
01004F1006CDA000|1|US|Project OCTOPATH TRAVELER Demo Ver.
0100679006532000|1|US|Project OCTOPATH TRAVELER Demo Ver.
01004F600AC8E000|1|JP|DARK SOULS® REMASTERED NETWORK TEST VER.
010060C00B0AA000|1|US|Mario Tennis Aces: Online Tournament Demo
01006BB00D45A000|1|US|Splatoon™ 2 Special Demo
010078B00B0AC000|1|GB|Mario Tennis Aces: Online Tournament Demo
01007E200D45C000|1|XX|Splatoon 2: Special Demo
010084E00E8A4000|1|XX|OLYMPIC GAMES TOKYO 2020™ DEMO 3
010086D00B3D2000|1|JP|OCTOPATH TRAVELER Prologue Demo
0100D16019902000|1|US|OCTOPATH TRAVELER II Prologue Demo
0100998011330000|1|JP|スプラトゥーン２ 特別体験版'20
01009C900D458000|1|JP|スプラトゥーン2 特別体験版
0100D070040F8000|1|JP|スプラトゥーン2 前夜祭
010086F0040FC000|1|GB|Splatoon 2 Splatfest World Premiere
01009240116CC000|1|XX|Splatoon 2: Special Demo 2020
0100BA0018500000|1|US|Splatoon™ 3: Splatfest World Premiere
0100944009646000|1|GB|Arena of Valor(BETA)
010096000B3EA000|1|US|OCTOPATH TRAVELER Prologue Demo
0100C5E003B40000|1|US|ARMS Global Testpunch
0100DF200AC96000|1|US|DARK SOULS™: REMASTERED NETWORK TEST VER.
0100E0500FDE8000|1|JP|リンク絵Link-a-Pix DELUXE クリスマス体験版
0100E6000CB50000|1|XX|Pic-a-Pix Pieces Christmas Demo
0100F6000BC6C000|1|US|DRAGON BALL FighterZ Open Beta
0100A4200DA76000|1|XX|Mario Tennis Aces Special Online Demo
0100F9600DA78000|1|XX|Mario Tennis Aces: Special Online Demo
0100A0D01A118000|1|US|MLB® The Show™ 23 Tech Test
0100EB40103EA000|1|ZH|腾讯视频 (体验版)
0100A3F013BDE000|1|US|Knockout City Cross-Play Beta
010033A0118DC000|1|US|Ninjala Exclusive Ninja Club
010088A014F84000|1|JP|Pokémon UNITE ネットワークテスト
01002980140F6000|1|US|Project TRIANGLE STRATEGY™ Debut Demo
0100D5B0140D2000|1|JP|Project TRIANGLE STRATEGY™ Debut Demo
0100A9F01776A000|1|US|MLB® The Show™ 22 Tech Test
01008A30182F2000|1|US|Mario Strikers™: Battle League First Kick
01000EE017182000|1|US|Nintendo Switch Sports Online Play Test
01003C601813E000|1|US|DRAGON BALL THE BREAKERS (Beta)
0100C6E00AF2C000|1|US|BLAZBLUE CROSS TAG BATTLE SPECIAL TRIAL
01005F201BC08000|1|US|EA SPORTS FC™ 24 Closed Beta
|||cloud versions
0100041013360000|1|US|Control Ultimate Edition - Cloud Version
0100C3F01567E000|1|US|Marvel's Guardians of the Galaxy - Cloud Version
0100987015684000|1|US|Marvel's Guardians of the Galaxy - Cloud Version Demo
0100CAB0156B6000|1|JP|Marvel's Guardians of the Galaxy - Cloud Version
01003CE015180000|1|US|A Plague Tale: Innocence - Cloud Version
010040C015396000|1|US|A Plague Tale: Innocence - Cloud Version
0100C5E01547C000|1|US|A Plague Tale: Innocence - Cloud Version Demo
01004990132AC000|1|US|HITMAN 3 - Cloud Version
01004DB016A96000|1|US|KINGDOM HEARTS III + Re Mind (DLC) - Cloud Version
0100479016834000|1|US|KINGDOM HEARTS III + Re Mind (DLC) - Cloud Version
01009830159CA000|1|US|The Forgotten City - Cloud Version
0100BCA015D90000|1|US|The Forgotten City - Cloud Version
010025D016A90000|1|US|KINGDOM HEARTS - HD 1.5+2.5 ReMIX - Cloud Version
01003DA016A88000|1|JP|KINGDOM HEARTS - HD 1.5+2.5 ReMIX - Cloud Version
01000E6016A22000|1|US|KINGDOM HEARTS - HD 1.5+2.5 ReMIX - Cloud Version
0100A33016A94000|1|US|KINGDOM HEARTS HD 2.8 Final Chapter Prologue - Cloud Version Demo
0100806016A24000|1|US|KINGDOM HEARTS HD 2.8 Final Chapter Prologue Cloud Version
0100D61016A92000|1|JP|KINGDOM HEARTS HD 2.8 Final Chapter Prologue - Cloud Version Demo
0100D3F01492C000|1|US|Thymesia - Cloud Version
0100A43017CAC000|1|US|Thymesia - Cloud Version Demo
0100828015980000|1|US|A Plague Tale: Requiem - Cloud Version
0100148018130000|1|US|A Plague Tale: Requiem - Cloud Version Demo
0100CA0018C52800|1|US|Resident Evil Village - Cloud Version
0100D5C0187A4000|1|US|Resident Evil 2 - Cloud Version Demo
010098A0187AC000|1|US|Resident Evil 3 - Cloud Version Demo
0100CA0018C52000|1|US|Resident Evil Village - Cloud Version
0100715018D4C000|1|US|Resident Evil Village - Cloud Version Demo
0100073018652000|1|JP|BIOHAZARD RE:2 - Cloud Version
0100D110187A6000|1|JP|BIOHAZARD RE:2 - Cloud Version Demo
0100959018654000|1|JP|BIOHAZARD RE:2 (Z Version) - Cloud Version
0100D200187A8000|1|JP|BIOHAZARD RE:2 (Z Version) - Cloud Version Demo
01003230187B0000|1|JP|BIOHAZARD RE:3 - Cloud Version Demo
010025D0187B2000|1|JP|BIOHAZARD RE:3 (Z Version)- Cloud Version Demo
0100F17018D52000|1|JP|BIOHAZARD VILLAGE - Cloud Version Demo
01005C9018C58000|1|JP|BIOHAZARD VILLAGE (Z Version) - Cloud Version
0100883018D54000|1|JP|BIOHAZARD VILLAGE (Z Version) - Cloud Version Demo
0100BA80187B4000|1|US|Resident Evil 7 - Cloud Version Demo
01006EA00A294000|1|JP|BIOHAZARD 7 - Cloud Version Demo
0100016018864000|1|US|Pathfinder: Wrath of the Righteous - Cloud Version
01006390193B6000|1|US|The Medium - Cloud Version Demo
|||normal
0100000016546000|1|GB|Void's Ballad
010001100E820000|1|US|Them Bombs!
010001A01329C000|1|JP|モンスターハンターストーリーズ２ ～破滅の翼～
010001E01B772000|1|GB|Bullion - The Curse of the Cut-Throat Cattle
010001F00D9B8000|1|US|Riddled Corpses EX
010002501378C000|1|JP|ポリス×戦士 ラブパトリーナ! ラブなリズムでタイホします!
0100026013434000|1|US|Sea of Solitude: The Director's Cut
010002700C646000|1|JP|ドラゴンクエストビルダーズ２ 破壊神シドーとからっぽの島
01000280151F2000|1|JP|Undead Battle Royale (アンデッド バトルロイヤル)
010002801A3FA000|1|US|Bayonetta Origins: Cereza and the Lost Demon™
010002A00D168000|1|US|Piczle Colors
010002A014B64000|1|US|MY HERO ONE'S JUSTICE 2
010002C00DC80000|1|US|Pocket Clothier
010002C011710000|1|US|Wunderling
0100030010D3E000|1|US|FINAL FANTASY® CRYSTAL CHRONICLES™ Remastered Edition
010003200ABE4000|1|ZH|戰場女武神４
0100033015E50000|1|US|Road 96
0100033016440000|1|JP|元祖みんなでスペランカー
0100035013D20000|1|US|Bake 'n Switch
01000360154A0000|1|JP|わんニャンペットショップ かわいいペットとふれあう毎日
010003D00867A000|1|US|Plantera Deluxe
010004200FC7C000|1|ZH|実況パワフルプロ野球
010004201180A000|1|US|HYPERCHARGE Unboxed
01000420118D4000|1|US|KUNAI
010004401534A000|1|US|Space Marshals
01000450181EA000|1|JP|ボクらのニンジャワールド
0100048016914000|1|US|COGEN: Sword of Rewind
01000490194EA000|1|US|The Crimson Flower that Divides: Lunar Coupling
010004C014F7A000|1|JP|Super Cable Boy (スーパー・ケーブル・ボーイ)
010004D00D222000|1|US|Pocket Academy
010004F00F236000|1|GB|Mario & Sonic at the Olympic Games Tokyo 2020
0100052019CDA000|1|US|Hana Awase New Moon -Karakurenai/Utsutsu Volume-
010005800DEF0000|1|JP|スーパーロボット大戦T
010005800F46E000|1|US|Ori and the Blind Forest: Definitive Edition
010005900E520000|1|US|Word Wheel by POWGI
010005D0079F8000|1|US|Robonauts
010005F0157C4000|1|US|New York Mysteries: Secrets of the Mafia
010005F0167F2000|1|JP|ドラゴンボールZ KAKAROT + 新たなる覚醒セット
010006100C050000|1|US|Swim Out
010006D00FF34000|1|US|Invisigun Reloaded
010006D0195C2000|1|US|Captain Velvet Meteor: The Jump+ Dimensions
0100071013DAA000|1|US|FUSER™
0100075019CDC000|1|US|Hana Awase New Moon -Iroha Volume-
010007600E8C6000|1|US|Devious Dungeon 2
010007B009314000|1|US|I and Me
010008300D1E0000|1|US|Woodle Tree Adventures
0100086013FC8000|1|US|Rise of the Slime
010008B01CCD8000|1|US|Before the Night
010009100845A000|1|US|INVERSUS Deluxe
010009801B842000|1|US|JellyCar Worlds
010009D015CE0000|1|US|Little Kite
010009F00BA7A000|1|JP|キミの瞳にヒットミー
01000A400F9B4000|1|US|SpeedRunners
01000A90187BE000|1|US|HARVESTELLA
01000A901B7D6000|1|US|Auralux: Constellations
01000AB0191DA000|1|US|DREDGE
01000B100D4B0000|1|US|Invisiballs
01000B3011838000|1|US|Hatsune Miku: Project DIVA Mega Mix
01000B3013D4C000|1|US|Byakko-tai Samurai Boys
01000BA0149BE000|1|US|Super Magbot
01000C400FD2C000|1|GB|Station Manager
01000C600D7CE000|1|JP|モンスターボーイ 呪われた王国
01000CC01C108000|1|JP|クライマキナ/CRYMACHINA
01000D2011E28000|1|US|Awesome Pea 2
01000D30142E4000|1|US|Georifters
01000D5011794000|1|JP|Eスクールライフ
01000D7005E28000|1|US|Spelunker Party!
01000DA00F026000|1|US|Our Flick Erasers
01000DC003740000|1|US|Puyo Puyo™ Tetris®
01000DC00EBBE000|1|US|DAEMON X MACHINA™
01000E700D5CE000|1|US|SCRAP RUSH!!
01000EB01023E000|1|US|Blossom Tales: The Sleeping King
01000EE01724C000|1|JP|モンスターハンターライズ
01000EF00E3C2000|1|JP|机でボウリング
01000F300DAB2000|1|US|Oh!Edo Towns
01000F50130A2000|1|US|Fitness Boxing 2: Rhythm & Exercise
